time,C
0,3.6707224521
1,3.6025681182
2,3.5356792065
3,3.4700322217
4,3.405604105
5,3.3423722257
6,3.2803143732
8,3.1596339607
10,3.0433932941
12,2.9314290382
15,2.7711583621
18,2.6196502006
24,2.3410313141
32,2.0150807205
48,1.4930106227
72,0.9521789418
96,0.6072594015
120,0.3872843271
144,0.2469935412
