time,C
0,0.4109036878
1,0.6342396592
2,0.8369787595
3,1.0206750538
4,1.1867703043
5,1.3366019986
6,1.4714108065
8,1.7004794046
10,1.8822161656
12,2.0237068902
15,2.1735677407
18,2.2634435191
24,2.3147563614
32,2.2211115966
48,1.8247454896
72,1.2229097362
96,0.7899645153
120,0.505511187
144,0.3226831342
